"Model","Sample_Size","Formula","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Residual_SD","Cohens_d","Cohens_d_low","Cohens_d_high"
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","(Intercept)",3.87965825619346,0.994987619909147,3.89920254138208,0.000273428593361403,1.88396582216983,5.87535069021709,2.63868229587991,1.47030139333228,0.713979786468228,2.22662300019634
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","Imputed_BESST_Pre_IRI",0.466217139629243,0.105187545435408,4.43224659059595,4.71941201635336e-05,0.255237641614857,0.677196637643628,2.63868229587991,0.176685590515085,0.0967292053360841,0.256641975694087
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","ConditionCBI, CICO, RF",1.47139269864023,0.798441601811838,1.84283070333675,0.0709495864416614,-0.130078346689048,3.07286374396951,2.63868229587991,0.557624046266462,-0.0492967065008753,1.1645447990338
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","ConditionCBI, RF",-0.850040645221377,0.938785075659136,-0.905468852521489,0.369315015205759,-2.73300505118887,1.03292376074612,2.63868229587991,-0.322145885675077,-1.03574615839741,0.391454387047257
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","(Intercept)",-0.327815296982118,1.45458254990036,-0.22536726912101,0.822560323835452,-3.24533842130402,2.58970782733978,5.02306889054357,-0.0652619552161157,-0.646086783204127,0.515562872771896
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","Imputed_BFSs_Pre_INT",0.634813131440753,0.104584674483696,6.06984851819483,1.40141788563267e-07,0.425042839423456,0.844583423458049,5.02306889054357,0.126379539137091,0.084618158477508,0.168140919796673
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","ConditionCBI, CICO, RF",1.14335723672337,1.52905466388042,0.747754324114072,0.457913436957742,-1.92353803197689,4.21025250542364,5.02306889054357,0.227621253388712,-0.382940802503853,0.838183309281276
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","ConditionCBI, RF",3.31153169073645,1.78059122328987,1.85979333573147,0.0684686059583784,-0.259882024675361,6.88294540614826,5.02306889054357,0.659264637395426,-0.0517376986735371,1.37026697346439
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","(Intercept)",2.64073683653236,8.4072114006061,0.314103774807183,0.75467529225594,-14.2219937620241,19.5034674350888,10.1293319200753,0.260701974954408,-1.40404064890376,1.92544459881257
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","Imputed_YSR_Pre_INT",0.784176423697132,0.129241329201396,6.06753604704233,1.41336236025306e-07,0.524951145221875,1.04340170217239,10.1293319200753,0.0774164011886089,0.0518248537380313,0.103007948639187
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","ConditionCBI, CICO, RF",8.48633514481189,3.0575607615955,2.77552461144993,0.0075979633087308,2.35364489180067,14.6190253978231,10.1293319200753,0.837798110652573,0.232359341205513,1.44323688009963
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","ConditionCBI, RF",13.1620350922788,3.63788131936645,3.61804961096725,0.000662764237855788,5.86536920451785,20.4587009800397,10.1293319200753,1.29939814354321,0.579047981722594,2.01974830536382
"Imputed_PCOISS_Post",57,"Imputed_PCOISS_Post ~ Imputed_PCOISS_Pre + Condition","(Intercept)",13.4267433980452,1.93566263805765,6.93651007880091,5.70668753955873e-09,9.54429581347469,17.3091909826158,4.10420354245936,3.27146138322359,2.32549280627429,4.21742996017289
"Imputed_PCOISS_Post",57,"Imputed_PCOISS_Post ~ Imputed_PCOISS_Pre + Condition","Imputed_PCOISS_Pre",0.107267495587825,0.117000306603867,0.916813799052722,0.363393333002089,-0.127405400833845,0.341940392009494,4.10420354245936,0.0261360077486671,-0.0310426613874759,0.0833146768848101
"Imputed_PCOISS_Post",57,"Imputed_PCOISS_Post ~ Imputed_PCOISS_Pre + Condition","ConditionCBI, CICO, RF",-0.259466697591149,1.2467136838604,-0.208120517926555,0.835932580988542,-2.76005767630213,2.24112428111983,4.10420354245936,-0.0632197440762573,-0.672495320407093,0.546055832254578
"Imputed_PCOISS_Post",57,"Imputed_PCOISS_Post ~ Imputed_PCOISS_Pre + Condition","ConditionCBI, RF",0.922718987029838,1.4868573416345,0.620583401777803,0.537533368564118,-2.05953917156253,3.90497714562221,4.10420354245936,0.224822910823989,-0.501812142174702,0.951457963822679
"Imputed_SRCS_Post_s1",57,"Imputed_SRCS_Post_s1 ~ Imputed_SRCS_Pre_s1 + Condition","(Intercept)",2.68198604498475,4.11949357607837,0.651047512383287,0.517828697193844,-5.58067169797212,10.9446437879416,11.7064363191163,0.229103543715106,-0.476718238227551,0.934925325657762
"Imputed_SRCS_Post_s1",57,"Imputed_SRCS_Post_s1 ~ Imputed_SRCS_Pre_s1 + Condition","Imputed_SRCS_Pre_s1",0.724116653661649,0.127092958984496,5.69753556331932,5.460204936683e-07,0.469200460145398,0.979032847177899,11.7064363191163,0.0618562843483963,0.0400805546073153,0.0836320140894773
"Imputed_SRCS_Post_s1",57,"Imputed_SRCS_Post_s1 ~ Imputed_SRCS_Pre_s1 + Condition","ConditionCBI, CICO, RF",3.00077881812918,3.554470936422,0.844226573181612,0.402337433424893,-4.128587028073,10.1301446643314,11.7064363191163,0.256335808467091,-0.352676674226737,0.865348291160918
"Imputed_SRCS_Post_s1",57,"Imputed_SRCS_Post_s1 ~ Imputed_SRCS_Pre_s1 + Condition","ConditionCBI, RF",9.437855272769,4.14843705195561,2.27503880487229,0.026975067815419,1.11714426898078,17.7585662765572,11.7064363191163,0.806210789987151,0.0954299189375433,1.51699166103676
"Imputed_SRCS_Post_s2",57,"Imputed_SRCS_Post_s2 ~ Imputed_SRCS_Pre_s2 + Condition","(Intercept)",7.08943592028758,4.51611157895389,1.5698097348449,0.122410965441532,-1.96873679360783,16.147608634183,14.6184175228472,0.484966030639599,-0.134675096708031,1.10460715798723
"Imputed_SRCS_Post_s2",57,"Imputed_SRCS_Post_s2 ~ Imputed_SRCS_Pre_s2 + Condition","Imputed_SRCS_Pre_s2",0.57253382665454,0.134802392679753,4.24720819321578,8.77603947184459e-05,0.302154467377858,0.842913185931222,14.6184175228472,0.0391652397230906,0.0206694375027679,0.0576610419434133
"Imputed_SRCS_Post_s2",57,"Imputed_SRCS_Post_s2 ~ Imputed_SRCS_Pre_s2 + Condition","ConditionCBI, CICO, RF",5.05613706385962,4.52793759634682,1.11665343354974,0.269179422419735,-4.02575563706222,14.1380297647815,14.6184175228472,0.345874446119585,-0.275389290993388,0.967138183232558
"Imputed_SRCS_Post_s2",57,"Imputed_SRCS_Post_s2 ~ Imputed_SRCS_Pre_s2 + Condition","ConditionCBI, RF",4.4076631199251,5.22565803633946,0.843465662941207,0.40275886894168,-6.07367955936339,14.8890057992136,14.6184175228472,0.301514381637844,-0.415481330306156,1.01851009358184
"Imputed_CASSS_C_Post",57,"Imputed_CASSS_C_Post ~ Imputed_CASSS_C_Pre + Condition","(Intercept)",29.3729464625222,7.0868249339309,4.14472584498143,0.000123170310639229,15.1585757317715,43.5873171932729,11.8119282738578,2.48671899976997,1.28332778360334,3.6901102159366
"Imputed_CASSS_C_Post",57,"Imputed_CASSS_C_Post ~ Imputed_CASSS_C_Pre + Condition","Imputed_CASSS_C_Pre",0.381112499320984,0.132029087053618,2.88657982741494,0.00562384983124816,0.116295686697716,0.645929311944252,11.8119282738578,0.0322650536377252,0.00984561402689028,0.0546844932485601
"Imputed_CASSS_C_Post",57,"Imputed_CASSS_C_Post ~ Imputed_CASSS_C_Pre + Condition","ConditionCBI, CICO, RF",0.226977487719519,3.62060320838295,0.0626905172027653,0.950248781352693,-7.03503289812962,7.48898787356866,11.8119282738578,0.0192159554695118,-0.595587167058878,0.634019077997901
"Imputed_CASSS_C_Post",57,"Imputed_CASSS_C_Post ~ Imputed_CASSS_C_Pre + Condition","ConditionCBI, RF",3.03997280355584,4.17684682188469,0.727815247527831,0.469929954307503,-5.33772098249554,11.4176665896072,11.8119282738578,0.257364651484036,-0.451892431002058,0.966621733970129
"Imputed_CASSS_T_Post",57,"Imputed_CASSS_T_Post ~ Imputed_CASSS_T_Pre + Condition","(Intercept)",5.75594679379727,6.21621138895831,0.925957377193028,0.358665410634418,-6.7121943056552,18.2240878932497,10.0174466769251,0.574592206919945,-0.670050415253673,1.81923482909356
"Imputed_CASSS_T_Post",57,"Imputed_CASSS_T_Post ~ Imputed_CASSS_T_Pre + Condition","Imputed_CASSS_T_Pre",0.870701463647292,0.110590576442034,7.87319762370231,1.78445570923102e-10,0.648884857828787,1.0925180694658,10.0174466769251,0.086918502461603,0.064775474105939,0.109061530817267
"Imputed_CASSS_T_Post",57,"Imputed_CASSS_T_Post ~ Imputed_CASSS_T_Pre + Condition","ConditionCBI, CICO, RF",1.79587698979094,3.03536379693278,0.591651317580337,0.556599473066964,-4.29229179023984,7.88404576982171,10.0174466769251,0.179274923811443,-0.42848162098302,0.787031468605905
"Imputed_CASSS_T_Post",57,"Imputed_CASSS_T_Post ~ Imputed_CASSS_T_Pre + Condition","ConditionCBI, RF",-0.344030406894094,3.59701751003802,-0.0956432394154392,0.924164643150406,-7.55873387274111,6.87067305895292,10.0174466769251,-0.0343431233516378,-0.754556936165423,0.685870689462148
